|    |             r |            r* |       Mid-P r |      Mid-P r* |   $\sqrt{t_0\vert y}$ |   Effective $\sqrt{t_0\vert y}$ |
|---:|--------------:|--------------:|--------------:|--------------:|----------------------:|--------------------------------:|
|  0 | nan           | nan           | nan           | nan           |            nan        |                    -inf         |
|  1 | nan           | nan           |   0.99913     |   0.998465    |              0        |                      -3.02799   |
|  2 |   0.997075    |   0.995623    |   0.992473    |   0.989691    |              0        |                      -2.34639   |
|  3 |   0.983676    |   0.978929    |   0.968772    |   0.961412    |              0        |                      -1.78531   |
|  4 |   0.945856    |   0.935338    |   0.913375    |   0.899365    |              0        |                      -1.28837   |
|  5 |   0.870444    |   0.852903    |   0.817077    |   0.796292    |              0        |                      -0.833934  |
|  6 |   0.754264    |   0.730828    |   0.683884    |   0.658627    |              0        |                      -0.410691  |
|  7 |   0.60848     |   0.582367    |   0.530949    |   0.504967    |              0.115051 |                      -0.0117887 |
|  8 |   0.454202    |   0.429254    |   0.380867    |   0.357695    |              0.48718  |                       0.367339  |
|  9 |   0.313065    |   0.292204    |   0.252288    |   0.23405     |              0.843864 |                       0.72993   |
| 10 |   0.199373    |   0.183864    |   0.154552    |   0.141706    |              1.18725  |                       1.07839   |
| 11 |   0.117565    |   0.107188    |   0.0877913   |   0.0796045   |              1.51899  |                       1.41456   |
| 12 |   0.0643825   |   0.058069    |   0.0463887   |   0.0416244   |              1.84043  |                       1.73991   |
| 13 |   0.0328526   |   0.0293314   |   0.0228784   |   0.0203274   |              2.15265  |                       2.05562   |
| 14 |   0.0156732   |   0.0138603   |   0.0105669   |   0.00930213  |              2.45654  |                       2.36265   |
| 15 |   0.00701409  |   0.00614729  |   0.00458557  |   0.00400169  |              2.75287  |                       2.66182   |
| 16 |   0.00295379  |   0.00256697  |   0.00187538  |   0.00162321  |              3.04227  |                       2.95382   |
| 17 |   0.00117401  |   0.00101217  |   0.000724902 |   0.000622594 |              3.3253   |                       3.23922   |
| 18 |   0.000441623 |   0.000377891 |   0.000265537 |   0.000226399 |              3.60243  |                       3.51855   |
| 19 |   0.000157627 |   0.000133924 |   9.24055e-05 |   7.82423e-05 |              3.87409  |                       3.79224   |
| 20 |   5.35113e-05 |   4.51591e-05 |   3.06191e-05 |   2.57564e-05 |              4.14065  |                       4.06068   |
