|    |   Mid-P r* (p-value) |   Poisson p-value |   $\sqrt{t_0\vert y}$ |   Effective $\sqrt{t_0\vert y}$ |   $\sqrt{t_0^{*mp}\vert y}$ |   Effective $\sqrt{t_0^{*mp}\vert y}$ |
|---:|---------------------:|------------------:|----------------------:|--------------------------------:|----------------------------:|--------------------------------------:|
|  0 |        nan           |       1           |          nan          |                     -inf        |                    0        |                            nan        |
|  1 |          0.944804    |       0.950063    |            0          |                       -1.64547  |                    0        |                             -1.59643  |
|  2 |          0.79682     |       0.800403    |            0          |                       -0.843062 |                    0        |                             -0.830315 |
|  3 |          0.576068    |       0.576137    |            0.00173263 |                       -0.192022 |                    0.373163 |                             -0.191845 |
|  4 |          0.354514    |       0.352096    |            0.550873   |                        0.379668 |                    0.888679 |                              0.373163 |
|  5 |          0.187088    |       0.184233    |            1.05464    |                        0.899351 |                    1.36765  |                              0.888679 |
|  6 |          0.0857113   |       0.0836158   |            1.52439    |                        1.38115  |                    1.81804  |                              1.36765  |
|  7 |          0.0345289   |       0.0333575   |            1.96728    |                        1.83359  |                    2.24521  |                              1.81804  |
|  8 |          0.0123772   |       0.0118398   |            2.38815    |                        2.26229  |                    2.65298  |                              2.24521  |
|  9 |          0.00398929  |       0.00377875  |            2.79053    |                        2.67123  |                    3.04416  |                              2.65298  |
| 10 |          0.00116664  |       0.00109441  |            3.17702    |                        3.06334  |                    3.42097  |                              3.04416  |
| 11 |          0.000311996 |       0.000289915 |            3.54968    |                        3.44088  |                    3.7851   |                              3.42097  |
| 12 |          7.68224e-05 |       7.07264e-05 |            3.91012    |                        3.80561  |                    4.13797  |                              3.7851   |
| 13 |          1.75194e-05 |       1.59841e-05 |            4.25967    |                        4.15897  |                    4.48072  |                              4.13797  |
